Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 2 (Saint John area),1302,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,4571,6180,74,6.2388,61.7,86.2,8.4,3,56.8,5.304495328,46.4,67.2,9.3,3,58,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 2 (Saint John area),1302,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,85305,119306,71.5,2.0815,67.4,75.6,2.9,3,70.2,1.854238519,66.6,73.8,2.6,3,671,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 3 (Fredericton area),1303,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,5832,7645,76.3,4.7168,67,85.5,6.2,3,60.5,8.166685914,44.5,76.5,13.5,3,61,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 3 (Fredericton area),1303,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,80385,116177,69.2,1.7088,65.8,72.5,2.5,3,68.8,1.853688415,65.2,72.5,2.7,3,654,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 4 (Edmundston area),1304,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,4103,5427,75.6,5.4784,64.8,86.3,7.2,3,72.5,6.718380594,59.3,85.7,9.3,3,86,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 4 (Edmundston area),1304,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,21825,29360,74.3,3.2315,68,80.7,4.3,3,74.4,3.049690619,68.4,80.4,4.1,3,355,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 5 (Campbellton area),1305,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,2787,3498,79.7,6.778,66.4,93,8.5,3,72.5,9.499990542,53.9,91.1,13.1,3,74,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 5 (Campbellton area),1305,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,10178,14498,70.2,3.9322,62.5,77.9,5.6,3,68.9,4.357882985,60.3,77.4,6.3,3,287,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 6 (Bathurst area),1306,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,6132,8260,74.2,3.2147,67.9,80.6,4.3,3,61.8,6.02127236,49.9,73.6,9.7,3,105,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 6 (Bathurst area),1306,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,33595,48504,69.3,2.3463,64.7,73.9,3.4,3,66.5,2.564106695,61.5,71.6,3.9,3,421,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 7 (Miramichi area),1307,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,2516,3396,74.1,5.5861,63.1,85,7.5,3,50.6,5.862137932,39.1,62.1,11.6,3,63,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Zone 7 (Miramichi area),1307,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,20843,26263,79.4,2.6627,74.1,84.6,3.4,3,78.7,2.533469649,73.7,83.7,3.2,3,385,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Bas-Saint-Laurent,2401,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,11859,17824,66.5,3.1568,60.3,72.7,4.7,3,68.3,5.032193513,58.4,78.1,7.4,3,203,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Bas-Saint-Laurent,2401,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,84634,133331,63.5,1.4791,60.6,66.4,2.3,3,61.7,1.752379777,58.2,65.1,2.8,3,979,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,15988,22653,70.6,3.267,64.2,77,4.6,3,67.3,3.572687754,60.3,74.3,5.3,3,231,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,115756,182297,63.5,1.2455,61.1,65.9,2,3,62.1,1.356803058,59.5,64.8,2.2,3,1232,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Capitale-Nationale,2403,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,20625,33928,60.8,5.0487,50.9,70.7,8.3,3,48.6,7.399449577,34.1,63.1,15.2,2,157,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Capitale-Nationale,2403,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,310725,533511,58.2,1.2456,55.8,60.7,2.1,3,57.8,1.240032522,55.4,60.3,2.1,3,1612,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,31644,46541,68,2.6156,62.9,73.1,3.8,3,69.8,4.273823467,61.4,78.2,6.1,3,267,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,218571,330599,66.1,1.3551,63.5,68.8,2,3,65,1.355130054,62.4,67.7,2.1,3,1395,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Estrie,2405,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,24588,42030,58.5,3.3725,51.9,65.1,5.8,3,56.5,4.63806369,47.4,65.6,8.2,3,232,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Estrie,2405,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,200166,312258,64.1,1.3416,61.5,66.7,2.1,3,63,1.487508482,60.1,65.9,2.4,3,1284,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Montréal,2406,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,59289,100513,59,3.0297,53,64.9,5.1,3,57,4.301409274,48.5,65.4,7.5,3,286,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Montréal,2406,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,754893,1378836,54.7,1.0554,52.7,56.8,1.9,3,55.6,0.99654938,53.6,57.6,1.8,3,2371,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Outaouais,2407,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,16322,24867,65.6,4.2268,57.3,73.9,6.4,3,59.9,5.577320139,49,70.8,9.3,3,189,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Outaouais,2407,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,166343,255935,65,1.3587,62.3,67.7,2.1,3,64.7,1.369174908,62,67.4,2.1,3,1341,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,10173,15008,67.8,2.7867,62.3,73.3,4.1,3,63.5,5.322297432,53.1,73.9,8.4,3,236,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,63263,90127,70.2,1.4051,67.4,73,2,3,69.7,1.397457854,66.9,72.4,2,3,1076,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Côte-Nord,2409,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,6142,8289,74.1,3.9009,66.4,81.8,5.3,3,69.2,6.278941666,56.9,81.5,9.1,3,212,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Côte-Nord,2409,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,36441,51579,70.7,1.6153,67.5,73.8,2.3,3,69.6,1.696864981,66.3,73,2.4,3,982,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Nord-du-Québec,2410,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,919,1291,71.2,6.0195,59.4,83,8.5,3,70.4,7.326428058,56,84.7,10.4,3,89,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Nord-du-Québec,2410,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,6279,9209,68.2,1.8432,64.6,71.8,2.7,3,67.9,2.144070356,63.7,72.1,3.2,3,406,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,8685,11681,74.3,2.232,70,78.7,3,3,68.7,6.127678355,56.7,80.7,8.9,3,284,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,39512,56712,69.7,1.7173,66.3,73,2.5,3,66.7,1.781663578,63.3,70.2,2.7,3,947,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Chaudière-Appalaches,2412,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,24584,38379,64.1,3.1049,58,70.1,4.8,3,68.5,4.557632999,59.6,77.4,6.7,3,267,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Chaudière-Appalaches,2412,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,164454,274587,59.9,1.5314,56.9,62.9,2.6,3,59,1.377621454,56.3,61.7,2.3,3,1286,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Laval,2413,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,13631,21235,64.2,3.5189,57.3,71.1,5.5,3,61.1,6.133596596,49,73.1,10,3,175,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Laval,2413,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,175701,287961,61,1.461,58.1,63.9,2.4,3,60.2,1.373316606,57.5,62.9,2.3,3,1375,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Lanaudière,2414,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,24906,37370,66.6,3.106,60.6,72.7,4.7,3,59.3,5.10920574,49.3,69.3,8.6,3,234,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région de Lanaudière,2414,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,213493,324100,65.9,1.4103,63.1,68.6,2.1,3,65.4,1.275629371,62.9,67.9,2,3,1437,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région des Laurentides,2415,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,25688,37787,68,3.3146,61.5,74.5,4.9,3,62.3,5.507072702,51.5,73,8.8,3,238,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Région des Laurentides,2415,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,247315,398893,62,1.206,59.6,64.4,1.9,3,61.2,1.381513182,58.5,63.9,2.3,3,1454,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Montérégie,2416,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,49315,75872,65,3.2536,58.6,71.4,5,3,62.1,4.131871007,54,70.2,6.7,3,273,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Montérégie,2416,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,601316,935823,64.3,1.043,62.2,66.3,1.6,3,64,1.043846881,61.9,66,1.6,3,2106,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,The District of Algoma HU,3526,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3845,6544,58.8,5.9725,47,70.5,10.2,3,53.9,9.195652322,35.9,71.9,17.1,2,88,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,The District of Algoma HU,3526,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,52157,74418,70.1,1.5987,66.9,73.2,2.3,3,68.5,2.173498592,64.3,72.8,3.2,3,694,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Brant County HU,3527,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3351,5026,66.7,7.0109,52.9,80.4,10.5,3,57,11.13699991,35.2,78.8,19.5,2,67,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Brant County HU,3527,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,54996,85058,64.7,1.6737,61.4,67.9,2.6,3,65.2,2.067194428,61.2,69.3,3.2,3,650,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Durham Regional HU,3530,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,14241,20301,70.2,5.7574,58.9,81.4,8.2,3,65.8,4.866391321,56.3,75.4,7.4,3,116,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Durham Regional HU,3530,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,284115,446687,63.6,1.6619,60.3,66.9,2.6,3,63.9,1.642333461,60.6,67.1,2.6,3,1173,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Elgin-St Thomas HU,3531,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,4669,6291,74.2,6.3859,61.7,86.7,8.6,3,79.8,4.64135649,70.7,88.9,5.8,3,91,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Elgin-St Thomas HU,3531,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,38508,56225,68.5,1.5459,65.5,71.5,2.3,3,67.4,2.167432047,63.1,71.6,3.2,3,611,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Grey Bruce HU,3533,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,6669,9627,69.3,6.287,56.9,81.6,9.1,3,67.9,5.969812077,56.2,79.6,8.8,3,96,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Grey Bruce HU,3533,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,74228,108438,68.5,1.9193,64.7,72.2,2.8,3,68.1,1.829477229,64.6,71.7,2.7,3,773,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Haldimand-Norfolk HU,3534,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3811,4893,77.9,4.3787,69.3,86.5,5.6,3,60.7,6.353389228,48.3,73.2,10.5,3,76,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Haldimand-Norfolk HU,3534,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,49367,76791,64.3,2.3879,59.6,69,3.7,3,63.7,2.423026914,59,68.5,3.8,3,670,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,7512,10050,74.7,3.713,67.5,82,5,3,75.4,8.025148442,59.6,91.1,10.6,3,81,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,89481,127875,70,2.1223,65.8,74.1,3,3,68.2,2.190608314,63.9,72.5,3.2,3,772,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Halton Regional HU,3536,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,6276,8039,78.1,5.9106,66.5,89.7,7.6,3,82.1,9.178719065,64.1,100.1,11.2,3,56,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Halton Regional HU,3536,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,244449,396715,61.6,1.4693,58.7,64.5,2.4,3,61.4,1.529019667,58.4,64.4,2.5,3,1169,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,City of Hamilton HU,3537,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,15009,21851,68.7,6.2562,56.4,81,9.1,3,69.6,8.362859451,53.2,86,12,3,111,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,City of Hamilton HU,3537,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,238340,373409,63.8,1.9428,60,67.6,3,3,64.4,1.725074939,61,67.7,2.7,3,1093,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,6318,10109,62.5,6.3288,50.1,74.9,10.1,3,57,7.593654558,42.2,71.9,13.3,3,92,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,70021,103485,67.7,1.9847,63.8,71.6,2.9,3,66.3,2.028432452,62.3,70.3,3.1,3,683,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Huron County HU,3539,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,2929,4026,72.7,4.9412,63.1,82.4,6.8,3,70.2,4.240413615,61.9,78.5,6,3,86,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Huron County HU,3539,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,25178,36958,68.1,2.2953,63.6,72.6,3.4,3,67.4,2.358213132,62.7,72,3.5,3,538,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Chatham-Kent HU,3540,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,5265,6735,78.2,4.3714,69.6,86.7,5.6,3,79.1,6.727047183,65.9,92.3,8.5,3,99,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Chatham-Kent HU,3540,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,48125,68087,70.7,2.2639,66.2,75.1,3.2,3,70.8,2.026730701,66.8,74.8,2.9,3,655,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Kingston, Frontenac and Lennox and Addington HU",3541,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,4064,5943,68.4,7.5456,53.6,83.2,11,3,68.7,6.744804442,55.5,81.9,9.8,3,52,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Kingston, Frontenac and Lennox and Addington HU",3541,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,94623,140813,67.2,1.9341,63.4,71,2.9,3,67.1,1.911610193,63.3,70.8,2.8,3,852,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Lambton HU,3542,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3526,5140,68.6,5.4229,58,79.2,7.9,3,66.4,7.881486991,50.9,81.8,11.9,3,73,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Lambton HU,3542,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,57923,86795,66.7,1.6387,63.5,70,2.5,3,65.6,2.141313528,61.4,69.8,3.3,3,744,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Leeds, Grenville and Lanark District HU",3543,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3269,4454,73.4,7.0958,59.5,87.3,9.7,3,61.2,4.239279286,52.9,69.5,6.9,3,53,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,"Leeds, Grenville and Lanark District HU",3543,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,85335,119157,71.6,1.8123,68.1,75.2,2.5,3,71.3,2.01577203,67.3,75.2,2.8,3,833,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Middlesex-London HU,3544,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,9919,15730,63.1,7.0884,49.1,77,11.2,3,55,6.410633126,42.5,67.6,11.7,3,77,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Middlesex-London HU,3544,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,196722,319954,61.5,1.3484,58.8,64.1,2.2,3,62.1,1.547907391,59.1,65.1,2.5,3,940,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Niagara Regional Area HU,3546,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,13070,18311,71.4,6.1207,59.4,83.4,8.6,3,64.5,8.103086106,48.7,80.4,12.6,3,104,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Niagara Regional Area HU,3546,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,205866,309683,66.5,1.6709,63.2,69.8,2.5,3,65.3,1.694695256,61.9,68.6,2.6,3,1073,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,North Bay Parry Sound District HU,3547,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,3943,5366,73.5,6.2233,61.3,85.7,8.5,3,81.8,6.77263803,68.5,95.1,8.3,3,76,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,North Bay Parry Sound District HU,3547,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,61989,88138,70.3,1.7934,66.8,73.9,2.5,3,69.6,2.175614462,65.3,73.9,3.1,3,665,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Northwestern HU,3549,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,2372,3327,71.3,5.8256,59.9,82.7,8.2,3,73.3,6.579359717,60.4,86.2,9,3,73,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,Northwestern HU,3549,adults aged 18+ years,1,both sexes,1,Education (household),2,At least high school,11,2015-2018,29879,43055,69.4,2.7345,64,74.8,3.9,3,68.7,2.292304025,64.2,73.1,3.3,3,587,
Overweigh or Obesity,3,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",5,Health Regions,2,City of Ottawa HU,3551,adults aged 18+ years,1,both sexes,1,Education (household),2,Less than high school,8,2015-2018,12455,16065,77.5,6.629,64.5,90.5,8.6,3,76.5,10.83986171,55.3,97.8,14.2,3,43,
